,Date,Open,High,Low,Close*,Adj Close**,Volume,MA10,MA20,Profit/ Loss
15,6-Apr-23,"33,420.96","33,525.96","33,325.37",33485.29,"33,485.29","258,680,000",32049.237,29525.7395,Profit
770,7-Apr-20,"23,537.44","23,617.24","22,634.45",22653.86,"22,653.86","594,660,000",30822.435,29345.5115,Profit
519,7-Apr-21,"33,444.98","33,521.76","33,347.96",33446.26,"33,446.26","273,440,000",30826.823,29970.649,Profit
265,7-Apr-22,"34,439.24","34,705.83","34,190.95",34583.57,"34,583.57","319,870,000",31642.681,30042.167,Loss
1022,8-Apr-19,"26,312.67","26,344.65","26,246.03",26341.02,"26,341.02","229,380,000",30924.064,29618.3045,Profit
769,8-Apr-20,"22,893.47","23,513.40","22,682.99",23433.57,"23,433.57","472,740,000",29803.303,29481.0265,Loss
518,8-Apr-21,"33,469.89","33,506.80","33,342.64",33503.57,"33,503.57","304,040,000",29805.388,30085.533,Profit
264,8-Apr-22,"34,569.24","34,908.46","34,470.19",34721.12,"34,721.12","301,750,000",31009.501,30510.6825,Loss
1021,9-Apr-19,"26,243.54","26,246.34","26,103.14",26150.58,"26,150.58","244,410,000",30281.535,30765.585,Profit
768,9-Apr-20,"23,690.66","24,008.99","23,504.09",23719.37,"23,719.37","566,400,000",29203.821,30271.496,Profit
517,9-Apr-21,"33,526.19","33,810.87","33,526.19",33800.6,"33,800.60","316,410,000",29235.352,30642.2945,Loss
1020,10-Apr-19,"26,173.71","26,209.49","26,101.24",26157.16,"26,157.16","203,130,000",29585.682,30204.0585,Profit
14,10-Apr-23,"33,425.25","33,590.24","33,343.43",33586.52,"33,586.52","232,920,000",29599.708,30213.2655,Profit
1019,11-Apr-19,"26,188.21","26,229.88","26,062.59",26143.05,"26,143.05","211,680,000",28755.656,30199.1685,Profit
263,11-Apr-22,"34,630.27","34,701.34","34,272.29",34308.08,"34,308.08","333,290,000",29552.362,30238.213,Profit
13,11-Apr-23,"33,586.75","33,781.29","33,586.75",33684.79,"33,684.79","241,430,000",30577.484,30190.3935,Loss
1018,12-Apr-19,"26,357.79","26,436.68","26,309.72",26412.3,"26,412.30","369,910,000",29868.357,29836.8725,Loss
516,12-Apr-21,"33,775.06","33,786.19","33,665.54",33745.4,"33,745.40","327,370,000",29770.785,30390.143,Loss
262,12-Apr-22,"34,412.51","34,669.97","34,102.81",34220.36,"34,220.36","333,510,000",30577.763,30429.649,Profit
12,12-Apr-23,"33,764.21","33,895.43","33,593.32",33646.5,"33,646.50","260,300,000",31570.476,30387.1485,Loss
767,13-Apr-20,"23,698.93","23,698.93","23,095.35",23390.77,"23,390.77","394,320,000",30529.493,29882.4225,Loss
515,13-Apr-21,"33,721.16","33,741.64","33,545.84",33677.27,"33,677.27","324,480,000",31281.504,30433.593,Loss
261,13-Apr-22,"34,166.64","34,598.36","34,140.64",34564.59,"34,564.59","313,630,000",31379.311,30489.5095,Profit
11,13-Apr-23,"33,668.97","34,054.99","33,605.17",34029.69,"34,029.69","277,230,000",32167.975,30461.8155,Loss
766,14-Apr-20,"23,690.57","24,040.58","23,683.44",23949.76,"23,949.76","485,910,000",31132.143,30342.2525,Profit
514,14-Apr-21,"33,668.95","33,911.25","33,668.95",33730.89,"33,730.89","315,330,000",31136.753,30857.1185,Loss
260,14-Apr-22,"34,628.46","34,889.17","34,437.50",34451.23,"34,451.23","353,680,000",31940.646,30904.5015,Loss
10,14-Apr-23,"33,981.71","34,082.94","33,730.85",33886.47,"33,886.47","276,720,000",31954.753,30862.769,Loss
1017,15-Apr-19,"26,407.76","26,424.85","26,316.42",26384.77,"26,384.77","250,620,000",31171.194,30874.4785,Loss
765,15-Apr-20,"23,600.72","23,649.72","23,233.32",23504.35,"23,504.35","437,630,000",30156.979,30863.7275,Profit
513,15-Apr-21,"33,788.53","34,068.73","33,788.53",34035.99,"34,035.99","319,680,000",31221.501,30875.497,Loss
1016,16-Apr-19,"26,482.19","26,530.71","26,397.19",26452.66,"26,452.66","302,340,000",30499.04,30890.272,Profit
764,16-Apr-20,"23,543.66","23,598.08","23,211.38",23537.68,"23,537.68","471,050,000",29396.349,30387.83,Loss
512,16-Apr-21,"34,058.16","34,256.75","34,058.16",34200.67,"34,200.67","343,760,000",29413.447,30790.711,Profit
1015,17-Apr-19,"26,468.53","26,501.02","26,391.86",26449.54,"26,449.54","367,780,000",29663.425,30397.784,Profit
763,17-Apr-20,"23,817.15","24,264.21","23,817.15",24242.49,"24,242.49","525,950,000",28714.585,29925.669,Loss
9,17-Apr-23,"33,930.46","33,991.23","33,796.91",33987.18,"33,987.18","234,530,000",28668.18,30304.413,Profit
1014,18-Apr-19,"26,463.37","26,602.42","26,444.53",26559.54,"26,559.54","332,850,000",27935.487,29945.12,Profit
